#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Account= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Account= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
21:28:04.136 -  INFO | ms-Account= [ID:         ] [                 main] | com.everis.account.AccountApplication         :  Starting AccountApplication using Java 1.8.0_291 on LIM-5RNY0Z2 with PID 18376 (C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\account\target\classes started by jmagalmo in C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\account)
21:28:04.139 -  INFO | ms-Account= [ID:         ] [                 main] | com.everis.account.AccountApplication         :  No active profile set, falling back to default profiles: default
21:28:04.191 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.boot.context.config.ConfigDataLoader      :  Fetching config from server at : http://localhost:8888
21:28:04.191 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.boot.context.config.ConfigDataLoader      :  Located environment: name=account, profiles=[default], label=null, version=null, state=null
21:28:05.003 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
21:28:05.169 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Finished Spring Data repository scanning in 161 ms. Found 1 Reactive MongoDB repository interfaces.
21:28:05.363 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.cloud.context.scope.GenericScope          :  BeanFactory id=f8bf5aba-edd8-39b1-91e6-f8f0a7e9524f
21:28:05.711 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.boot.web.embedded.tomcat.TomcatWebServer  :  Tomcat initialized with port(s): 9092 (http)
21:28:05.722 -  INFO | ms-Account= [ID:         ] [                 main] | org.apache.coyote.http11.Http11NioProtocol    :  Initializing ProtocolHandler ["http-nio-9092"]
21:28:05.722 -  INFO | ms-Account= [ID:         ] [                 main] | org.apache.catalina.core.StandardService      :  Starting service [Tomcat]
21:28:05.723 -  INFO | ms-Account= [ID:         ] [                 main] | org.apache.catalina.core.StandardEngine       :  Starting Servlet engine: [Apache Tomcat/9.0.46]
21:28:05.829 -  INFO | ms-Account= [ID:         ] [                 main] | o.a.c.c.C.[Tomcat].[localhost].[/account]     :  Initializing Spring embedded WebApplicationContext
21:28:05.829 -  INFO | ms-Account= [ID:         ] [                 main] | .s.b.w.s.c.ServletWebServerApplicationContext :  Root WebApplicationContext: initialization completed in 1634 ms
21:28:06.262 -  INFO | ms-Account= [ID:         ] [                 main] | org.mongodb.driver.cluster                    :  Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
21:28:07.534 -  INFO | ms-Account= [ID:         ] [ull'}-localhost:27017] | org.mongodb.driver.connection                 :  Opened connection [connectionId{localValue:2, serverValue:234}] to localhost:27017
21:28:07.534 -  INFO | ms-Account= [ID:         ] [ull'}-localhost:27017] | org.mongodb.driver.connection                 :  Opened connection [connectionId{localValue:1, serverValue:233}] to localhost:27017
21:28:07.534 -  INFO | ms-Account= [ID:         ] [ull'}-localhost:27017] | org.mongodb.driver.cluster                    :  Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=76505800}
21:28:08.619 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.b.a.endpoint.web.EndpointLinksResolver    :  Exposing 3 endpoint(s) beneath base path '/actuator'
21:28:08.671 -  INFO | ms-Account= [ID:         ] [                 main] | org.apache.coyote.http11.Http11NioProtocol    :  Starting ProtocolHandler ["http-nio-9092"]
21:28:08.685 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.boot.web.embedded.tomcat.TomcatWebServer  :  Tomcat started on port(s): 9092 (http) with context path '/account'
21:28:10.198 -  INFO | ms-Account= [ID:         ] [                 main] | com.everis.account.AccountApplication         :  Started AccountApplication in 7.797 seconds (JVM running for 9.012)
21:28:10.407 -  INFO | ms-Account= [ID:         ] [nnection(3)-127.0.0.1] | o.a.c.c.C.[Tomcat].[localhost].[/account]     :  Initializing Spring DispatcherServlet 'dispatcherServlet'
21:28:10.407 -  INFO | ms-Account= [ID:         ] [nnection(3)-127.0.0.1] | o.s.web.servlet.DispatcherServlet             :  Initializing Servlet 'dispatcherServlet'
21:28:10.409 -  INFO | ms-Account= [ID:         ] [nnection(3)-127.0.0.1] | o.s.web.servlet.DispatcherServlet             :  Completed initialization in 1 ms
#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Credit= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
